Category,City,Title,Rating,TimesRated,Address,Phone,Instagram
עיצוב שיער,תל אביב,,,,,,
עיצוב שיער,תל אביב,"סטודיו חפיף
מנוהל",9.7,1405 ביקורות,"אבן גבירול 13, תל אביב יפו",03-6858282,https://www.instagram.com/Studiohafif/
עיצוב שיער,תל אביב,"יאקו ברברשופ
מנוהל",9.7,364 ביקורות,"בית רובינשטיין, תל אביב יפו",054-7717405,https://www.instagram.com/Barbero_tlv/
עיצוב שיער,תל אביב,"איציק אואקיל עיצוב שיער
מנוהל",9.6,894 ביקורות,"שדרות יהודית 25, תל אביב יפו",03-5344110,https://www.instagram.com/izikoakil/
עיצוב שיער,תל אביב,"רפאל המספרה
מנוהל",9.6,542 ביקורות,"שינקין 55, תל אביב יפו",050-4581416,
עיצוב שיער,תל אביב,"hair couture nyc המספרה הניו יורקית
מנוהל",9.5,1089 ביקורות,"יהודה המכבי 87, תל אביב יפו",072-2487048,https://www.instagram.com/hair_couture_nyc/
עיצוב שיער,תל אביב,"ראש גדול עיצוב שיער
מנוהל",9.5,707 ביקורות,"דרך השלום 101, תל אביב יפו",03-7310791,
עיצוב שיער,תל אביב,"אלי ביטון מסטהייר
מנוהל",9.5,114 ביקורות,"בוגרשוב 62, תל אביב יפו",03-5259797,https://www.instagram.com/Eli_bitton_musthair/
עיצוב שיער,תל אביב,"חוליגן
מנוהל",9.5,449 ביקורות,"דיזנגוף 146, תל אביב יפו",054-4599940,https://www.instagram.com/hooliganTLV/
עיצוב שיער,תל אביב,"Arnolds
מנוהל",9.4,322 ביקורות,"מעון 28, תל אביב יפו",052-4533557,https://www.instagram.com/Arnold.hair/
עיצוב שיער,תל אביב,"מאיר קידר
מנוהל",9.4,178 ביקורות,"בן יהודה 226, תל אביב יפו",03-5461371,
עיצוב שיער,תל אביב,"יריב עיצוב בשיער
מנוהל",9.4,284 ביקורות,"קהילת פאדובה 20, תל אביב יפו",052-6567325,https://www.instagram.com/Yariv.hair.cut/
עיצוב שיער,תל אביב,"עיצוב שיער סידי
מנוהל",9.4,128 ביקורות,"זמנהוף 7, תל אביב יפו",052-7837283,
עיצוב שיער,תל אביב,"אומן השיער ליאור ניסימוב
מנוהל",9.4,513 ביקורות,"שדרות המעפילים 31, תל אביב יפו",03-6822666,
עיצוב שיער,תל אביב,"סטיילי עיצוב שיער
מנוהל",9.5,135 ביקורות,"המלך ג'ורג' 11, תל אביב יפו",055-7228445,https://www.instagram.com/stylytlv/
עיצוב שיער,תל אביב,מספרת רועי ראובני,9.4,299 ביקורות,"בזל 33, תל אביב יפו",052-6968697,
עיצוב שיער,תל אביב,"מספרת שי גדון
מנוהל",9.3,102 ביקורות,"שינקין 61, תל אביב יפו",03-6855467,https://www.instagram.com/Shaygadon/
עיצוב שיער,תל אביב,"עומר שמעוני
מנוהל",9.3,1124 ביקורות,"מגדלי אלון, תל אביב יפו",050-6551156,https://www.instagram.com/omershimoni_hairsalon/
עיצוב שיער,תל אביב,"שופוני ברברשופ
מנוהל",9.4,435 ביקורות,"פרישמן 86, תל אביב יפו",052-5472469,https://www.instagram.com/shufooni_barbershop/
עיצוב שיער,תל אביב,"רם סולן
מנוהל",9.3,140 ביקורות,"דיזנגוף 46, תל אביב יפו",050-2236630,https://www.instagram.com/Ram.solan/
עיצוב שיער,תל אביב,"אריאל ישראלוב עיצוב שיער
מנוהל",9.3,173 ביקורות,"דיזנגוף 287, תל אביב יפו",050-2425230,
עיצוב שיער,תל אביב,יעקב בנוז מעצב שיער,9.3,78 ביקורות,"המלך ג'ורג' 84, תל אביב יפו",03-6059055,
עיצוב שיער,תל אביב,"Mipelo
מנוהל",9.3,222 ביקורות,"המכבי 13, תל אביב יפו",058-7970995,https://www.instagram.com/Mipelo_tlv/
עיצוב שיער,תל אביב,"Nini Hair
מנוהל",9.3,150 ביקורות,"החשמונאים 78, תל אביב יפו",03-5611363,https://www.instagram.com/nini_hair1/
עיצוב שיער,תל אביב,"אבי מלכה
מנוהל",9.3,158 ביקורות,"פרישמן 45, תל אביב יפו",03-5222381,https://www.instagram.com/AVIMALKA1/
עיצוב שיער,תל אביב,"רועי אמזלג
מנוהל",9.3,172 ביקורות,"ה' באייר 64, תל אביב יפו",03-6432303,https://www.instagram.com/roeeamzaleg/
עיצוב שיער,תל אביב,"ברק שושן עיצוב שיער
מנוהל",9.3,106 ביקורות,"פרישמן 32, תל אביב יפו",054-4677079,https://www.instagram.com/Barak_shoshan/
עיצוב שיער,תל אביב,"CUT The Bullshit
מנוהל",9.3,102 ביקורות,"דרך מנחם בגין 46, תל אביב יפו",055-7201915,https://www.instagram.com/Cut_the_bullshitt/
עיצוב שיער,תל אביב,"Snirmeir Barbershop
מנוהל",9.3,145 ביקורות,"דיזנגוף 130, תל אביב יפו",050-6848389,https://www.instagram.com/snirmeir/
עיצוב שיער,תל אביב,אומנות השיער,9.2,77 ביקורות,"לוריא 6, תל אביב יפו",077-2011364,
עיצוב שיער,תל אביב,"אסי מדי עיצוב שיער
מנוהל",9.2,102 ביקורות,"אבן גבירול 121, תל אביב יפו",052-8020825,https://www.instagram.com/assimady/
