Category,City,Title,Rating,TimesRated,Address,Phone,Instagram
כושר,תל אביב,"גוף ראשון
מנוהל",9.4,288 ביקורות,"ארלוזורוב 62, תל אביב יפו",03-5246611,https://www.instagram.com/Goof_rishon/
כושר,תל אביב,"סטודיו Worth It
מנוהל",9.6,29 ביקורות,"בן יהודה 26, תל אביב יפו",054-5845515,https://www.instagram.com/hadas.worth.it/
כושר,תל אביב,בריכת גורדון,9,1491 ביקורות,"אליעזר פרי 14, תל אביב יפו",03-7623300,אין
כושר,תל אביב,ויקינג,8.9,1038 ביקורות,"השלושה 5, תל אביב יפו",03-6353600,https://www.instagram.com/vkingclimb/
כושר,תל אביב,"בוסט פיטנס סנטר
מנוהל",9.1,369 ביקורות,"הארבעה 18, תל אביב יפו",053-9315967,https://www.instagram.com/boostfitnesscenter/
כושר,תל אביב,Beach Club,8.9,289 ביקורות,"רציף הרברט סמואל 5, תל אביב יפו (חוף התופים)",054-5478321,https://www.instagram.com/Beach_club_tlv/
כושר,תל אביב,פרפורמנס רוק,9,695 ביקורות,"דרך מנחם בגין 144, תל אביב יפו",03-6872880,אין
כושר,תל אביב,LAKE TLV,9.2,1869 ביקורות,"פארק דרום, תל אביב יפו",03-7391168,https://www.instagram.com/laketlv/
כושר,תל אביב,גלים בית הספר לגלישה,9.3,203 ביקורות,"חוף גורדון, תל אביב יפו",03-5175557,אין
כושר,תל אביב,"סאבטרה subterra
מנוהל",9.4,165 ביקורות,"אלכסנדר ינאי 1, תל אביב יפו",050-6335566,https://www.instagram.com/subterra.tlv/
כושר,תל אביב,בריכת בית דני,8.7,66 ביקורות,"דוד תדהר 42, תל אביב יפו",03-6878277,אין
כושר,תל אביב,"Pole&more
מנוהל",9.2,17 ביקורות,"הזוהר 23, תל אביב יפו",054-4407005,https://www.instagram.com/pole_more/
כושר,תל אביב,"דאנס תל אביב
מנוהל",9.1,38 ביקורות,"סעדיה גאון 24, תל אביב יפו",03-5220215,https://www.instagram.com/Dance.Telaviv/
כושר,תל אביב,"שקד סלסה וריקודים לטינים
מנוהל",9.7,151 ביקורות,"בארי 38, תל אביב יפו",052-4733342,https://www.instagram.com/shaqedsalsa/
כושר,תל אביב,"גלשני אלמוג אינטרסרף
מנוהל",9.2,141 ביקורות,"דרך קיבוץ גלויות 32, תל אביב יפו",03-6820729,https://www.instagram.com/intersurfsurfboards/
כושר,תל אביב,Midtown dance center,9.2,200 ביקורות,"קרליבך 27, תל אביב יפו",052-8888402,אין
